"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","교장(남)","교장(여)","교장(휴직교원)","교장(계)","교감(남)","교감(여)","교감(휴직교원)","교감(계)","수석교사(남)","수석교사(여)","수석교사(휴직교원)","수석교사(계)","보직교사(남)","보직교사(여)","보직교사(휴직교원)","보직교사(계)","일반교사(남)","일반교사(여)","일반교사(휴직교원)","일반교사(계)","특수교사(남)","특수교사(여)","특수교사(휴직교원)","특수교사(계)","전문상담교사(남)","전문상담교사(여)","전문상담교사(휴직교원)","전문상담교사(계)","사서교사(남)","사서교사(여)","사서교사(휴직교원)","사서교사(계)","실기교사(남)","실기교사(여)","실기교사(휴직교원)","실기교사(계)","보건교사(남)","보건교사(여)","보건교사(휴직교원)","보건교사(계)","영양교사(남)","영양교사(여)","영양교사(휴직교원)","영양교사(계)","기간제교사(남)","기간제교사(여)","기간제교사(휴직교원)","기간제교사(계)","강사(남)","강사(여)","강사(휴직교원)","강사(계)","총계(남)","총계(여)","총계(휴직교원)","총계(계)","원어민강사(남)","원어민강사(여)","원어민강사(계)","휴직교원수"
"전라남도교육청","전라남도강진교육지원청","전라남도 강진군","S140000348","강진동초등학교","02","공립","N","","1","0","0","1","0","1","0","1","0","0","0","0","2","1","0","3","1","3","0","4","0","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","0","1","0","1","0","0","0","0","4","10","0","14","0","0","0","0"
"전라남도교육청","전라남도강진교육지원청","전라남도 강진군","S140000349","강진북초등학교","02","공립","N","","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0"
"전라남도교육청","전라남도강진교육지원청","전라남도 강진군","S140000351","강진중앙초등학교","02","공립","N","","1","0","0","1","1","0","0","1","0","1","0","1","6","5","0","11","8","19","2","27","0","1","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","16","29","2","45","0","0","0","2"
"전라남도교육청","전라남도강진교육지원청","전라남도 강진군","S140000352","계산초등학교","02","공립","N","","1","0","0","1","0","1","0","1","0","0","0","0","2","1","0","3","3","1","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","6","5","0","11","0","0","0","0"
"전라남도교육청","전라남도강진교육지원청","전라남도 강진군","S140000353","군동초등학교","02","공립","N","","1","0","0","1","0","1","0","1","0","0","0","0","1","2","0","3","0","4","0","4","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","3","8","0","11","0","0","0","0"
"전라남도교육청","전라남도강진교육지원청","전라남도 강진군","S140000354","대구초등학교","02","공립","N","","0","1","0","1","0","0","0","0","0","0","0","0","1","1","0","2","3","3","2","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","5","2","9","0","0","0","2"
"전라남도교육청","전라남도강진교육지원청","전라남도 강진군","S140000356","도암초등학교","02","공립","N","","0","1","0","1","1","0","0","1","0","0","0","0","2","1","0","3","2","2","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","0","0","0","0","0","1","0","1","5","7","1","12","0","0","0","1"
"전라남도교육청","전라남도강진교육지원청","전라남도 강진군","S140000358","마량초등학교","02","공립","N","","0","1","0","1","0","1","0","1","0","0","0","0","3","0","0","3","2","2","1","4","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","1","0","0","1","0","0","0","0","7","6","1","13","0","0","0","1"
"전라남도교육청","전라남도강진교육지원청","전라남도 강진군","S140000359","병영초등학교","02","공립","N","","0","1","0","1","1","0","0","1","0","0","0","0","2","1","0","3","4","1","1","5","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","0","0","0","0","0","0","0","0","7","6","1","13","0","0","0","1"
"전라남도교육청","전라남도강진교육지원청","전라남도 강진군","S140000360","성전초등학교","02","공립","N","","1","0","0","1","0","1","0","1","0","0","0","0","2","1","0","3","4","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","0","0","0","0","7","4","0","11","0","0","0","0"
